date,instrument,close,open,high,low,volume
2023-01-03,000001.SZ,1568.9016204071045,1503.9579803466795,1578.0165172576903,1486.8675487518312,219412794
2023-01-04,000001.SZ,1631.5665362548827,1562.065447769165,1642.9601573181153,1552.9505509185792,218968253
2023-01-05,000001.SZ,1649.7963299560547,1640.6814331054688,1679.419744720459,1637.263346786499,166542518
2023-01-06,000001.SZ,1665.74739944458,1652.0750541687012,1677.1410205078125,1649.7963299560547,119574471
2023-01-09,000001.SZ,1686.2559173583986,1680.5591068267822,1695.3708142089845,1654.3537783813476,105765911
2023-01-10,000001.SZ,1645.2388815307618,1681.6984689331055,1696.5101763153077,1639.5420709991456,126942339
2023-01-11,000001.SZ,1671.4442099761964,1646.3782436370848,1683.977193145752,1639.5420709991456,83056612
2023-01-12,000001.SZ,1671.4442099761964,1682.8378310394287,1682.8378310394287,1655.4931404876709,62569484
2023-01-13,000001.SZ,1703.346348953247,1671.4442099761964,1703.346348953247,1657.7718647003176,94908583
2023-01-16,000001.SZ,1718.1580563354491,1703.346348953247,1740.945298461914,1691.9527278900146,156003989
2023-01-17,000001.SZ,1705.6250731658936,1723.8548668670655,1729.5516773986817,1682.8378310394287,93583454
2023-01-18,000001.SZ,1721.5761426544188,1703.346348953247,1729.5516773986817,1698.7889005279542,71843403
2023-01-19,000001.SZ,1719.2974184417724,1723.8548668670655,1737.5272121429443,1694.231452102661,64187520
2023-01-20,000001.SZ,1723.8548668670655,1727.2729531860352,1736.387850036621,1709.0431594848633,60859008
2023-01-30,000001.SZ,1726.133591079712,1777.4048858642577,1793.3559553527832,1696.5101763153077,137431750
2023-01-31,000001.SZ,1707.90379737854,1736.387850036621,1767.1506269073486,1704.4857110595703,103049784
2023-02-01,000001.SZ,1674.8622962951658,1712.461245803833,1718.1580563354491,1653.2144162750244,165342148
